Cell type	Mark	Array	Control	Treat
RWPE2	H3K27ac	hsat2_7_4(B)	43	6
RWPE2	H3K27ac	hsat2_7_5(B)	1407	281
RWPE2	H3K27ac	hsat2_7_6(B)	510	123
RWPE2	H3K27ac	hsat2_7_7(B)	216	32
RWPE2	H3K27ac	hsat2_7_9(B)	10	2
RWPE2	H3K27ac	hsat2_7_10(B)	220	35
RWPE2	H3K27ac	hsat2_7_12(B)	20	1
RWPE2	H3K27ac	hsat2_7_13(B)	1327	239
RWPE2	H3K27ac	hsat2_7_15(B)	755	218
RWPE2	H3K27ac	hsat2_7_16(B)	979	234
RWPE2	H3K27ac	hsat2_7_17(B)	2203	446
RWPE2	H3K27ac	hsat2_7_18(B)	1099	201
RWPE2	H3K27ac	hsat2_7_19(B)	347	86
RWPE2	H3K27ac	hsat2_9_1(B)	1497	296
RWPE2	H3K27ac	hsat2_10_1(B)	551	96
RWPE2	H3K27ac	hsat2_10_2(A1,A2)	707	347
RWPE2	H3K27ac	hsat2_10_3(A1,A2)	3153	635
RWPE2	H3K27ac	hsat2_10_4(B)	294	75
RWPE2	H3K27ac	hsat2_16_2(B)	138	24
RWPE2	H3K27ac	hsat2_16_3(B)	575	86
RWPE2	H3K27ac	hsat2_16_4(B)	507	66
RWPE2	H3K27ac	hsat2_16_5(B)	1140	224
RWPE2	H3K27ac	hsat2_16_6(B)	1644	316
RWPE2	H3K27ac	hsat2_16_7(B)	1067	178
RWPE2	H3K27ac	hsat2_16_8(B)	780	138
RWPE2	H3K27ac	hsat2_16_9(B)	1486	216
RWPE2	H3K27ac	hsat2_16_10(B)	570	84
RWPE2	H3K27ac	hsat2_16_11(B)	1736	346
RWPE2	H3K27ac	hsat2_16_12(B)	1653	294
RWPE2	H3K27ac	hsat2_16_13(B)	684	108
RWPE2	H3K27ac	hsat2_16_14(B)	376	48
RWPE2	H3K27ac	hsat2_16_15(B)	36020	5646
RWPE2	H3K27ac	hsat2_16_16(B)	164	15
RWPE2	H3K27ac	hsat2_17_1(B)	330	70
RWPE2	H3K27ac	hsat2_17_2(B)	3029	529
RWPE2	H3K27ac	hsat2_22_1(B)	98	10
RWPE2	H3K27ac	hsat2_22_2(B)	371	69
RWPE2	H3K27ac	hsat2_22_3(B)	2175	338
RWPE2	H3K27ac	hsat2_22_4(B)	1610	293
RWPE2	H3K27ac	hsat2_22_5(B)	782	103
RWPE1	H3K27ac	hsat2_1_1(B)	1196	7
RWPE1	H3K27ac	hsat2_1_2(B)	754	14
RWPE1	H3K27ac	hsat2_1_3(A1,B)	33141	577
RWPE1	H3K27ac	hsat2_1_4(B,A1,A2)	4053	86
RWPE1	H3K27ac	hsat2_1_5(B)	4141	42
RWPE1	H3K27ac	hsat2_1_6(A2,A1,B)	71590	1170
RWPE1	H3K27ac	hsat2_1_7(B)	587	14
RWPE1	H3K27ac	hsat2_2_2(B)	920	8
RWPE1	H3K27ac	hsat2_2_3(B)	1134	12
RWPE1	H3K27ac	hsat2_2_4(B)	1711	10
RWPE1	H3K27ac	hsat2_2_5(B)	15723	234
RWPE1	H3K27ac	hsat2_2_6(B)	3645	24
RWPE1	H3K27ac	hsat2_2_7(B)	1682	16
RWPE1	H3K27ac	hsat2_7_1(B)	133	2
RWPE1	H3K27ac	hsat2_7_2(B)	147	4
RWPE1	H3K27ac	hsat2_7_3(B)	298	12
RWPE1	H3K27ac	hsat2_7_5(B)	5666	56
RWPE1	H3K27ac	hsat2_7_6(B)	2402	26
RWPE1	H3K27ac	hsat2_7_7(B)	827	12
RWPE1	H3K27ac	hsat2_7_10(B)	963	2
RWPE1	H3K27ac	hsat2_7_13(B)	5679	28
RWPE1	H3K27ac	hsat2_7_15(B)	3215	22
RWPE1	H3K27ac	hsat2_7_16(B)	4303	58
RWPE1	H3K27ac	hsat2_7_17(B)	9242	90
RWPE1	H3K27ac	hsat2_7_18(B)	4591	44
RWPE1	H3K27ac	hsat2_7_19(B)	1414	29
RWPE1	H3K27ac	hsat2_9_1(B)	4606	52
RWPE1	H3K27ac	hsat2_10_1(B)	1562	15
RWPE1	H3K27ac	hsat2_10_2(A1,A2)	2308	36
RWPE1	H3K27ac	hsat2_10_3(A1,A2)	10905	167
RWPE1	H3K27ac	hsat2_10_4(B)	731	10
RWPE1	H3K27ac	hsat2_16_2(B)	386	20
RWPE1	H3K27ac	hsat2_16_3(B)	1403	10
RWPE1	H3K27ac	hsat2_16_4(B)	1212	3
RWPE1	H3K27ac	hsat2_16_5(B)	3296	30
RWPE1	H3K27ac	hsat2_16_6(B)	4029	30
RWPE1	H3K27ac	hsat2_16_7(B)	2883	20
RWPE1	H3K27ac	hsat2_16_8(B)	1943	25
RWPE1	H3K27ac	hsat2_16_9(B)	3365	28
RWPE1	H3K27ac	hsat2_16_10(B)	1523	9
RWPE1	H3K27ac	hsat2_16_11(B)	4255	36
RWPE1	H3K27ac	hsat2_16_12(B)	3952	29
RWPE1	H3K27ac	hsat2_16_13(B)	1633	12
RWPE1	H3K27ac	hsat2_16_14(B)	794	4
RWPE1	H3K27ac	hsat2_16_15(B)	102841	1262
RWPE1	H3K27ac	hsat2_16_16(B)	353	8
RWPE1	H3K27ac	hsat2_17_1(B)	996	8
RWPE1	H3K27ac	hsat2_17_2(B)	8906	88
RWPE1	H3K27ac	hsat2_22_2(B)	1111	6
RWPE1	H3K27ac	hsat2_22_3(B)	6815	64
RWPE1	H3K27ac	hsat2_22_4(B)	4599	46
RWPE1	H3K27ac	hsat2_22_5(B)	2427	23
HL-60	H3K27ac	hsat2_1_1(B)	355	467
HL-60	H3K27ac	hsat2_1_2(B)	194	258
HL-60	H3K27ac	hsat2_1_3(A1,B)	5446	8909
HL-60	H3K27ac	hsat2_1_4(B,A1,A2)	528	775
HL-60	H3K27ac	hsat2_1_5(B)	822	1136
HL-60	H3K27ac	hsat2_1_6(A2,A1,B)	26634	41963
HL-60	H3K27ac	hsat2_1_7(B)	107	168
HL-60	H3K27ac	hsat2_2_1(B)	2	3
HL-60	H3K27ac	hsat2_2_2(B)	272	364
HL-60	H3K27ac	hsat2_2_3(B)	298	436
HL-60	H3K27ac	hsat2_2_4(B)	583	855
HL-60	H3K27ac	hsat2_2_5(B)	4098	5968
HL-60	H3K27ac	hsat2_2_6(B)	949	1441
HL-60	H3K27ac	hsat2_2_7(B)	447	628
HL-60	H3K27ac	hsat2_7_1(B)	38	31
HL-60	H3K27ac	hsat2_7_2(B)	23	31
HL-60	H3K27ac	hsat2_7_3(B)	59	73
HL-60	H3K27ac	hsat2_7_4(B)	21	28
HL-60	H3K27ac	hsat2_7_5(B)	1207	1637
HL-60	H3K27ac	hsat2_7_6(B)	440	630
HL-60	H3K27ac	hsat2_7_7(B)	120	186
HL-60	H3K27ac	hsat2_7_9(B)	8	18
HL-60	H3K27ac	hsat2_7_10(B)	176	270
HL-60	H3K27ac	hsat2_7_12(B)	7	15
HL-60	H3K27ac	hsat2_7_13(B)	1174	1625
HL-60	H3K27ac	hsat2_7_14(B)	2	2
HL-60	H3K27ac	hsat2_7_15(B)	627	919
HL-60	H3K27ac	hsat2_7_16(B)	699	1098
HL-60	H3K27ac	hsat2_7_17(B)	1802	2626
HL-60	H3K27ac	hsat2_7_18(B)	975	1331
HL-60	H3K27ac	hsat2_7_19(B)	281	383
HL-60	H3K27ac	hsat2_9_1(B)	1293	2002
HL-60	H3K27ac	hsat2_10_1(B)	455	628
HL-60	H3K27ac	hsat2_10_2(A1,A2)	554	709
HL-60	H3K27ac	hsat2_10_3(A1,A2)	2276	3199
HL-60	H3K27ac	hsat2_10_4(B)	210	348
HL-60	H3K27ac	hsat2_16_1(B)	2	11
HL-60	H3K27ac	hsat2_16_2(B)	85	148
HL-60	H3K27ac	hsat2_16_3(B)	375	497
HL-60	H3K27ac	hsat2_16_4(B)	381	530
HL-60	H3K27ac	hsat2_16_5(B)	875	1202
HL-60	H3K27ac	hsat2_16_6(B)	1143	1708
HL-60	H3K27ac	hsat2_16_7(B)	841	1166
HL-60	H3K27ac	hsat2_16_8(B)	500	785
HL-60	H3K27ac	hsat2_16_9(B)	1000	1459
HL-60	H3K27ac	hsat2_16_10(B)	441	648
HL-60	H3K27ac	hsat2_16_11(B)	1260	1767
HL-60	H3K27ac	hsat2_16_12(B)	1050	1507
HL-60	H3K27ac	hsat2_16_13(B)	428	689
HL-60	H3K27ac	hsat2_16_14(B)	221	329
HL-60	H3K27ac	hsat2_16_15(B)	27743	41697
HL-60	H3K27ac	hsat2_16_16(B)	138	195
HL-60	H3K27ac	hsat2_17_1(B)	290	375
HL-60	H3K27ac	hsat2_17_2(B)	2222	3424
HL-60	H3K27ac	hsat2_22_1(B)	91	175
HL-60	H3K27ac	hsat2_22_2(B)	329	532
HL-60	H3K27ac	hsat2_22_3(B)	1605	2484
HL-60	H3K27ac	hsat2_22_4(B)	1338	1909
HL-60	H3K27ac	hsat2_22_5(B)	681	1009
epithelial cell of prostate male	H3K27ac	hsat2_1_1(B)	472	122
epithelial cell of prostate male	H3K27ac	hsat2_1_2(B)	335	66
epithelial cell of prostate male	H3K27ac	hsat2_1_3(A1,B)	21106	5479
epithelial cell of prostate male	H3K27ac	hsat2_1_4(B,A1,A2)	2828	676
epithelial cell of prostate male	H3K27ac	hsat2_1_5(B)	1194	328
epithelial cell of prostate male	H3K27ac	hsat2_1_6(A2,A1,B)	50242	13698
epithelial cell of prostate male	H3K27ac	hsat2_1_7(B)	152	54
epithelial cell of prostate male	H3K27ac	hsat2_2_1(B)	20	7
epithelial cell of prostate male	H3K27ac	hsat2_2_2(B)	550	156
epithelial cell of prostate male	H3K27ac	hsat2_2_3(B)	490	128
epithelial cell of prostate male	H3K27ac	hsat2_2_4(B)	695	249
epithelial cell of prostate male	H3K27ac	hsat2_2_5(B)	8199	2067
epithelial cell of prostate male	H3K27ac	hsat2_2_6(B)	1460	421
epithelial cell of prostate male	H3K27ac	hsat2_2_7(B)	682	180
epithelial cell of prostate male	H3K27ac	hsat2_7_1(B)	34	4
epithelial cell of prostate male	H3K27ac	hsat2_7_2(B)	36	8
epithelial cell of prostate male	H3K27ac	hsat2_7_3(B)	73	28
epithelial cell of prostate male	H3K27ac	hsat2_7_4(B)	47	11
epithelial cell of prostate male	H3K27ac	hsat2_7_5(B)	1807	537
epithelial cell of prostate male	H3K27ac	hsat2_7_6(B)	757	172
epithelial cell of prostate male	H3K27ac	hsat2_7_7(B)	190	58
epithelial cell of prostate male	H3K27ac	hsat2_7_9(B)	24	14
epithelial cell of prostate male	H3K27ac	hsat2_7_10(B)	320	76
epithelial cell of prostate male	H3K27ac	hsat2_7_12(B)	20	7
epithelial cell of prostate male	H3K27ac	hsat2_7_13(B)	1748	433
epithelial cell of prostate male	H3K27ac	hsat2_7_15(B)	1057	345
epithelial cell of prostate male	H3K27ac	hsat2_7_16(B)	1311	360
epithelial cell of prostate male	H3K27ac	hsat2_7_17(B)	2771	838
epithelial cell of prostate male	H3K27ac	hsat2_7_18(B)	1468	449
epithelial cell of prostate male	H3K27ac	hsat2_7_19(B)	405	83
epithelial cell of prostate male	H3K27ac	hsat2_9_1(B)	2037	565
epithelial cell of prostate male	H3K27ac	hsat2_10_1(B)	634	225
epithelial cell of prostate male	H3K27ac	hsat2_10_2(A1,A2)	1569	450
epithelial cell of prostate male	H3K27ac	hsat2_10_3(A1,A2)	4501	1260
epithelial cell of prostate male	H3K27ac	hsat2_10_4(B)	359	111
epithelial cell of prostate male	H3K27ac	hsat2_16_1(B)	6	6
epithelial cell of prostate male	H3K27ac	hsat2_16_2(B)	173	42
epithelial cell of prostate male	H3K27ac	hsat2_16_3(B)	571	164
epithelial cell of prostate male	H3K27ac	hsat2_16_4(B)	520	135
epithelial cell of prostate male	H3K27ac	hsat2_16_5(B)	1389	397
epithelial cell of prostate male	H3K27ac	hsat2_16_6(B)	1782	519
epithelial cell of prostate male	H3K27ac	hsat2_16_7(B)	1197	332
epithelial cell of prostate male	H3K27ac	hsat2_16_8(B)	781	300
epithelial cell of prostate male	H3K27ac	hsat2_16_9(B)	1540	464
epithelial cell of prostate male	H3K27ac	hsat2_16_10(B)	683	175
epithelial cell of prostate male	H3K27ac	hsat2_16_11(B)	1989	501
epithelial cell of prostate male	H3K27ac	hsat2_16_12(B)	1780	501
epithelial cell of prostate male	H3K27ac	hsat2_16_13(B)	718	225
epithelial cell of prostate male	H3K27ac	hsat2_16_14(B)	337	111
epithelial cell of prostate male	H3K27ac	hsat2_16_15(B)	51408	14392
epithelial cell of prostate male	H3K27ac	hsat2_16_16(B)	134	49
epithelial cell of prostate male	H3K27ac	hsat2_17_1(B)	354	123
epithelial cell of prostate male	H3K27ac	hsat2_17_2(B)	3675	1030
epithelial cell of prostate male	H3K27ac	hsat2_22_1(B)	49	24
epithelial cell of prostate male	H3K27ac	hsat2_22_2(B)	508	186
epithelial cell of prostate male	H3K27ac	hsat2_22_3(B)	2506	661
epithelial cell of prostate male	H3K27ac	hsat2_22_4(B)	1943	471
epithelial cell of prostate male	H3K27ac	hsat2_22_5(B)	1012	267
C4-2B	H3K27ac	hsat2_1_1(B)	332	29
C4-2B	H3K27ac	hsat2_1_2(B)	204	28
C4-2B	H3K27ac	hsat2_1_3(A1,B)	37619	5681
C4-2B	H3K27ac	hsat2_1_4(B,A1,A2)	4818	1114
C4-2B	H3K27ac	hsat2_1_5(B)	747	74
C4-2B	H3K27ac	hsat2_1_6(A2,A1,B)	66461	10772
C4-2B	H3K27ac	hsat2_1_7(B)	111	17
C4-2B	H3K27ac	hsat2_2_1(B)	1	2
C4-2B	H3K27ac	hsat2_2_2(B)	204	8
C4-2B	H3K27ac	hsat2_2_3(B)	258	30
C4-2B	H3K27ac	hsat2_2_4(B)	369	32
C4-2B	H3K27ac	hsat2_2_5(B)	4668	1030
C4-2B	H3K27ac	hsat2_2_6(B)	888	121
C4-2B	H3K27ac	hsat2_2_7(B)	362	56
C4-2B	H3K27ac	hsat2_7_1(B)	41	15
C4-2B	H3K27ac	hsat2_7_2(B)	27	21
C4-2B	H3K27ac	hsat2_7_3(B)	74	60
C4-2B	H3K27ac	hsat2_7_4(B)	41	33
C4-2B	H3K27ac	hsat2_7_5(B)	1246	152
C4-2B	H3K27ac	hsat2_7_6(B)	455	22
C4-2B	H3K27ac	hsat2_7_7(B)	125	7
C4-2B	H3K27ac	hsat2_7_9(B)	2	2
C4-2B	H3K27ac	hsat2_7_10(B)	156	6
C4-2B	H3K27ac	hsat2_7_12(B)	11	1
C4-2B	H3K27ac	hsat2_7_13(B)	987	100
C4-2B	H3K27ac	hsat2_7_15(B)	677	104
C4-2B	H3K27ac	hsat2_7_16(B)	903	142
C4-2B	H3K27ac	hsat2_7_17(B)	1629	188
C4-2B	H3K27ac	hsat2_7_18(B)	962	120
C4-2B	H3K27ac	hsat2_7_19(B)	328	49
C4-2B	H3K27ac	hsat2_9_1(B)	1516	146
C4-2B	H3K27ac	hsat2_10_1(B)	426	34
C4-2B	H3K27ac	hsat2_10_2(A1,A2)	2726	484
C4-2B	H3K27ac	hsat2_10_3(A1,A2)	5254	826
C4-2B	H3K27ac	hsat2_10_4(B)	282	37
C4-2B	H3K27ac	hsat2_16_2(B)	113	48
C4-2B	H3K27ac	hsat2_16_3(B)	364	45
C4-2B	H3K27ac	hsat2_16_4(B)	297	68
C4-2B	H3K27ac	hsat2_16_5(B)	849	58
C4-2B	H3K27ac	hsat2_16_6(B)	970	130
C4-2B	H3K27ac	hsat2_16_7(B)	661	78
C4-2B	H3K27ac	hsat2_16_8(B)	580	41
C4-2B	H3K27ac	hsat2_16_9(B)	1131	104
C4-2B	H3K27ac	hsat2_16_10(B)	349	45
C4-2B	H3K27ac	hsat2_16_11(B)	988	145
C4-2B	H3K27ac	hsat2_16_12(B)	1073	62
C4-2B	H3K27ac	hsat2_16_13(B)	440	48
C4-2B	H3K27ac	hsat2_16_14(B)	178	24
C4-2B	H3K27ac	hsat2_16_15(B)	33720	5016
C4-2B	H3K27ac	hsat2_16_16(B)	126	20
C4-2B	H3K27ac	hsat2_17_1(B)	248	25
C4-2B	H3K27ac	hsat2_17_2(B)	2570	306
C4-2B	H3K27ac	hsat2_22_1(B)	78	23
C4-2B	H3K27ac	hsat2_22_2(B)	320	60
C4-2B	H3K27ac	hsat2_22_3(B)	1975	202
C4-2B	H3K27ac	hsat2_22_4(B)	1321	145
C4-2B	H3K27ac	hsat2_22_5(B)	616	60
22Rv1	H3K27ac	hsat2_1_1(B)	1007	287
22Rv1	H3K27ac	hsat2_1_2(B)	617	164
22Rv1	H3K27ac	hsat2_1_3(A1,B)	40320	13216
22Rv1	H3K27ac	hsat2_1_4(B,A1,A2)	5329	1673
22Rv1	H3K27ac	hsat2_1_5(B)	2328	708
22Rv1	H3K27ac	hsat2_1_6(A2,A1,B)	94939	29501
22Rv1	H3K27ac	hsat2_1_7(B)	343	68
22Rv1	H3K27ac	hsat2_2_1(B)	26	8
22Rv1	H3K27ac	hsat2_2_2(B)	582	166
22Rv1	H3K27ac	hsat2_2_3(B)	604	200
22Rv1	H3K27ac	hsat2_2_4(B)	1010	309
22Rv1	H3K27ac	hsat2_2_5(B)	14475	4687
22Rv1	H3K27ac	hsat2_2_6(B)	1877	618
22Rv1	H3K27ac	hsat2_2_7(B)	949	279
22Rv1	H3K27ac	hsat2_7_1(B)	66	27
22Rv1	H3K27ac	hsat2_7_2(B)	55	29
22Rv1	H3K27ac	hsat2_7_3(B)	154	53
22Rv1	H3K27ac	hsat2_7_4(B)	79	27
22Rv1	H3K27ac	hsat2_7_5(B)	3375	1034
22Rv1	H3K27ac	hsat2_7_6(B)	1398	487
22Rv1	H3K27ac	hsat2_7_7(B)	529	171
22Rv1	H3K27ac	hsat2_7_9(B)	40	14
22Rv1	H3K27ac	hsat2_7_10(B)	630	214
22Rv1	H3K27ac	hsat2_7_12(B)	66	12
22Rv1	H3K27ac	hsat2_7_13(B)	3351	1059
22Rv1	H3K27ac	hsat2_7_14(B)	3	3
22Rv1	H3K27ac	hsat2_7_15(B)	1909	596
22Rv1	H3K27ac	hsat2_7_16(B)	2402	792
22Rv1	H3K27ac	hsat2_7_17(B)	5191	1675
22Rv1	H3K27ac	hsat2_7_18(B)	2736	811
22Rv1	H3K27ac	hsat2_7_19(B)	864	255
22Rv1	H3K27ac	hsat2_9_1(B)	2713	763
22Rv1	H3K27ac	hsat2_10_1(B)	893	234
22Rv1	H3K27ac	hsat2_10_2(A1,A2)	2761	893
22Rv1	H3K27ac	hsat2_10_3(A1,A2)	7031	2184
22Rv1	H3K27ac	hsat2_10_4(B)	477	132
22Rv1	H3K27ac	hsat2_16_1(B)	7	2
22Rv1	H3K27ac	hsat2_16_2(B)	196	45
22Rv1	H3K27ac	hsat2_16_3(B)	784	240
22Rv1	H3K27ac	hsat2_16_4(B)	668	211
22Rv1	H3K27ac	hsat2_16_5(B)	1965	667
22Rv1	H3K27ac	hsat2_16_6(B)	2194	690
22Rv1	H3K27ac	hsat2_16_7(B)	1450	461
22Rv1	H3K27ac	hsat2_16_8(B)	1068	329
22Rv1	H3K27ac	hsat2_16_9(B)	1941	678
22Rv1	H3K27ac	hsat2_16_10(B)	818	275
22Rv1	H3K27ac	hsat2_16_11(B)	2574	741
22Rv1	H3K27ac	hsat2_16_12(B)	2371	734
22Rv1	H3K27ac	hsat2_16_13(B)	904	278
22Rv1	H3K27ac	hsat2_16_14(B)	427	141
22Rv1	H3K27ac	hsat2_16_15(B)	65463	21286
22Rv1	H3K27ac	hsat2_16_16(B)	207	68
22Rv1	H3K27ac	hsat2_17_1(B)	498	174
22Rv1	H3K27ac	hsat2_17_2(B)	4632	1458
22Rv1	H3K27ac	hsat2_22_1(B)	146	54
22Rv1	H3K27ac	hsat2_22_2(B)	634	154
22Rv1	H3K27ac	hsat2_22_3(B)	3111	1008
22Rv1	H3K27ac	hsat2_22_4(B)	2500	826
22Rv1	H3K27ac	hsat2_22_5(B)	1289	399
VCaP	H3K27ac	hsat2_1_1(B)	494	162
VCaP	H3K27ac	hsat2_1_2(B)	289	83
VCaP	H3K27ac	hsat2_1_3(A1,B)	28621	8013
VCaP	H3K27ac	hsat2_1_4(B,A1,A2)	3820	1091
VCaP	H3K27ac	hsat2_1_5(B)	1510	460
VCaP	H3K27ac	hsat2_1_6(A2,A1,B)	51548	14145
VCaP	H3K27ac	hsat2_1_7(B)	83	28
VCaP	H3K27ac	hsat2_2_1(B)	9	7
VCaP	H3K27ac	hsat2_2_2(B)	428	142
VCaP	H3K27ac	hsat2_2_3(B)	406	122
VCaP	H3K27ac	hsat2_2_4(B)	734	254
VCaP	H3K27ac	hsat2_2_5(B)	7081	2012
VCaP	H3K27ac	hsat2_2_6(B)	1949	563
VCaP	H3K27ac	hsat2_2_7(B)	673	189
VCaP	H3K27ac	hsat2_7_1(B)	48	20
VCaP	H3K27ac	hsat2_7_2(B)	63	17
VCaP	H3K27ac	hsat2_7_3(B)	113	46
VCaP	H3K27ac	hsat2_7_4(B)	58	22
VCaP	H3K27ac	hsat2_7_5(B)	2333	707
VCaP	H3K27ac	hsat2_7_6(B)	998	285
VCaP	H3K27ac	hsat2_7_7(B)	331	94
VCaP	H3K27ac	hsat2_7_9(B)	36	12
VCaP	H3K27ac	hsat2_7_10(B)	525	121
VCaP	H3K27ac	hsat2_7_12(B)	29	4
VCaP	H3K27ac	hsat2_7_13(B)	2371	673
VCaP	H3K27ac	hsat2_7_14(B)	4	1
VCaP	H3K27ac	hsat2_7_15(B)	1323	398
VCaP	H3K27ac	hsat2_7_16(B)	1506	483
VCaP	H3K27ac	hsat2_7_17(B)	3398	1073
VCaP	H3K27ac	hsat2_7_18(B)	1813	550
VCaP	H3K27ac	hsat2_7_19(B)	537	144
VCaP	H3K27ac	hsat2_9_1(B)	2460	758
VCaP	H3K27ac	hsat2_10_1(B)	660	208
VCaP	H3K27ac	hsat2_10_2(A1,A2)	1723	573
VCaP	H3K27ac	hsat2_10_3(A1,A2)	4522	1207
VCaP	H3K27ac	hsat2_10_4(B)	370	106
VCaP	H3K27ac	hsat2_16_1(B)	3	3
VCaP	H3K27ac	hsat2_16_2(B)	106	31
VCaP	H3K27ac	hsat2_16_3(B)	383	103
VCaP	H3K27ac	hsat2_16_4(B)	348	93
VCaP	H3K27ac	hsat2_16_5(B)	957	321
VCaP	H3K27ac	hsat2_16_6(B)	1162	341
VCaP	H3K27ac	hsat2_16_7(B)	792	235
VCaP	H3K27ac	hsat2_16_8(B)	511	140
VCaP	H3K27ac	hsat2_16_9(B)	977	232
VCaP	H3K27ac	hsat2_16_10(B)	436	157
VCaP	H3K27ac	hsat2_16_11(B)	1366	375
VCaP	H3K27ac	hsat2_16_12(B)	1181	309
VCaP	H3K27ac	hsat2_16_13(B)	486	153
VCaP	H3K27ac	hsat2_16_14(B)	212	83
VCaP	H3K27ac	hsat2_16_15(B)	23623	6516
VCaP	H3K27ac	hsat2_16_16(B)	104	37
VCaP	H3K27ac	hsat2_17_1(B)	362	157
VCaP	H3K27ac	hsat2_17_2(B)	3619	1025
VCaP	H3K27ac	hsat2_22_1(B)	254	90
VCaP	H3K27ac	hsat2_22_2(B)	659	194
VCaP	H3K27ac	hsat2_22_3(B)	3031	966
VCaP	H3K27ac	hsat2_22_4(B)	2481	698
VCaP	H3K27ac	hsat2_22_5(B)	1246	372
brain microvascular endothelial cell	H3K27me3	hsat2_1_1(B)	177	865
brain microvascular endothelial cell	H3K27me3	hsat2_1_2(B)	124	512
brain microvascular endothelial cell	H3K27me3	hsat2_1_3(A1,B)	3150	16898
brain microvascular endothelial cell	H3K27me3	hsat2_1_4(B,A1,A2)	456	1985
brain microvascular endothelial cell	H3K27me3	hsat2_1_5(B)	436	1806
brain microvascular endothelial cell	H3K27me3	hsat2_1_6(A2,A1,B)	14154	76030
brain microvascular endothelial cell	H3K27me3	hsat2_1_7(B)	28	153
brain microvascular endothelial cell	H3K27me3	hsat2_2_1(B)	8	47
brain microvascular endothelial cell	H3K27me3	hsat2_2_2(B)	134	662
brain microvascular endothelial cell	H3K27me3	hsat2_2_3(B)	156	780
brain microvascular endothelial cell	H3K27me3	hsat2_2_4(B)	290	1326
brain microvascular endothelial cell	H3K27me3	hsat2_2_5(B)	1424	7801
brain microvascular endothelial cell	H3K27me3	hsat2_2_6(B)	531	2459
brain microvascular endothelial cell	H3K27me3	hsat2_2_7(B)	247	1186
brain microvascular endothelial cell	H3K27me3	hsat2_7_1(B)	16	57
brain microvascular endothelial cell	H3K27me3	hsat2_7_2(B)	17	75
brain microvascular endothelial cell	H3K27me3	hsat2_7_3(B)	38	176
brain microvascular endothelial cell	H3K27me3	hsat2_7_4(B)	24	107
brain microvascular endothelial cell	H3K27me3	hsat2_7_5(B)	639	2997
brain microvascular endothelial cell	H3K27me3	hsat2_7_6(B)	282	1233
brain microvascular endothelial cell	H3K27me3	hsat2_7_7(B)	38	226
brain microvascular endothelial cell	H3K27me3	hsat2_7_9(B)	6	34
brain microvascular endothelial cell	H3K27me3	hsat2_7_10(B)	81	373
brain microvascular endothelial cell	H3K27me3	hsat2_7_12(B)	2	35
brain microvascular endothelial cell	H3K27me3	hsat2_7_13(B)	648	3190
brain microvascular endothelial cell	H3K27me3	hsat2_7_15(B)	355	1701
brain microvascular endothelial cell	H3K27me3	hsat2_7_16(B)	432	2228
brain microvascular endothelial cell	H3K27me3	hsat2_7_17(B)	932	4893
brain microvascular endothelial cell	H3K27me3	hsat2_7_18(B)	516	2503
brain microvascular endothelial cell	H3K27me3	hsat2_7_19(B)	132	835
brain microvascular endothelial cell	H3K27me3	hsat2_9_1(B)	675	2934
brain microvascular endothelial cell	H3K27me3	hsat2_10_1(B)	214	879
brain microvascular endothelial cell	H3K27me3	hsat2_10_2(A1,A2)	292	1256
brain microvascular endothelial cell	H3K27me3	hsat2_10_3(A1,A2)	1427	6874
brain microvascular endothelial cell	H3K27me3	hsat2_10_4(B)	102	534
brain microvascular endothelial cell	H3K27me3	hsat2_16_2(B)	23	141
brain microvascular endothelial cell	H3K27me3	hsat2_16_3(B)	172	882
brain microvascular endothelial cell	H3K27me3	hsat2_16_4(B)	191	815
brain microvascular endothelial cell	H3K27me3	hsat2_16_5(B)	470	1993
brain microvascular endothelial cell	H3K27me3	hsat2_16_6(B)	658	2914
brain microvascular endothelial cell	H3K27me3	hsat2_16_7(B)	368	1835
brain microvascular endothelial cell	H3K27me3	hsat2_16_8(B)	272	1430
brain microvascular endothelial cell	H3K27me3	hsat2_16_9(B)	552	2324
brain microvascular endothelial cell	H3K27me3	hsat2_16_10(B)	204	1065
brain microvascular endothelial cell	H3K27me3	hsat2_16_11(B)	671	3041
brain microvascular endothelial cell	H3K27me3	hsat2_16_12(B)	596	2727
brain microvascular endothelial cell	H3K27me3	hsat2_16_13(B)	262	1132
brain microvascular endothelial cell	H3K27me3	hsat2_16_14(B)	119	526
brain microvascular endothelial cell	H3K27me3	hsat2_16_15(B)	10968	52210
brain microvascular endothelial cell	H3K27me3	hsat2_16_16(B)	55	202
brain microvascular endothelial cell	H3K27me3	hsat2_17_1(B)	124	635
brain microvascular endothelial cell	H3K27me3	hsat2_17_2(B)	1370	5792
brain microvascular endothelial cell	H3K27me3	hsat2_22_1(B)	45	197
brain microvascular endothelial cell	H3K27me3	hsat2_22_2(B)	179	1360
brain microvascular endothelial cell	H3K27me3	hsat2_22_3(B)	1084	7900
brain microvascular endothelial cell	H3K27me3	hsat2_22_4(B)	720	5361
brain microvascular endothelial cell	H3K27me3	hsat2_22_5(B)	331	2820
MG63	H3K27me3	hsat2_1_1(B)	426	769
MG63	H3K27me3	hsat2_1_2(B)	256	513
MG63	H3K27me3	hsat2_1_3(A1,B)	11244	18404
MG63	H3K27me3	hsat2_1_4(B,A1,A2)	872	1488
